id,title,overview,poster_path,release_date,runtime,vote_average,genres,backdrop_path,tagline,status,budget,revenue,homepage,popularity,vote_count,Director,Star1,Star2,Star3,Star4,certificate
48,Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1985,116 min,8.5,"[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Sci-Fi'}]",,,,0,"210,609,762",,87.0,1058081,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,U
49,Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1968,165 min,8.5,[{'name': 'Western'}],,,,0,"5,321,508",,80.0,302844,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,U
50,Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1960,109 min,8.5,"[{'name': 'Horror'}, {'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"32,000,000",,97.0,604211,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,A
51,Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1942,102 min,8.5,"[{'name': 'Drama'}, {'name': 'Romance'}, {'name': 'War'}]",,,,0,"1,024,560",,100.0,522093,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,U
52,Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1936,87 min,8.5,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Family'}]",,,,0,"163,245",,96.0,217881,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,G
53,City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1931,87 min,8.5,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"19,181",,99.0,167839,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,G
54,Capharnaüm,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2018,126 min,8.4,[{'name': 'Drama'}],,,,0,"1,661,096",,75.0,62635,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,A
55,Ayla: The Daughter of War,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »","https://m.media-amazon.com/images/M/MV5BNWJhMDlmZGUtYzcxNS00NDRiLWIwNjktNDY1Mjg3ZjBkYzY0XkEyXkFqcGdeQXVyMTU4MjUwMjI@._V1_UY98_CR2,0,67,98_AL_.jpg",2017,125 min,8.4,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,,,,34112,Can Ulkay,Erdem Can,Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,
56,Vikram Vedha,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","https://m.media-amazon.com/images/M/MV5BY2FiMTFmMzMtZDI2ZC00NDQyLWExYTUtOWNmZWM1ZDg5YjVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",2017,147 min,8.4,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,,,,28401,Gayatri,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath,UA
57,Kimi no na wa.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg",2016,106 min,8.4,"[{'name': 'Animation'}, {'name': 'Drama'}, {'name': 'Fantasy'}]",,,,0,"5,017,246",,79.0,194838,Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,U
58,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY98_CR1,0,67,98_AL_.jpg",2016,161 min,8.4,"[{'name': 'Action'}, {'name': 'Biography'}, {'name': 'Drama'}]",,,,0,"12,391,761",,,156479,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,U
59,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",2018,117 min,8.4,"[{'name': 'Animation'}, {'name': 'Action'}, {'name': 'Adventure'}]",,,,0,"190,241,310",,87.0,375110,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,U
60,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",2019,181 min,8.4,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,"858,373,000",,78.0,809955,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,UA
61,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX67_CR0,0,67,98_AL_.jpg",2018,149 min,8.4,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Sci-Fi'}]",,,,0,"678,815,482",,68.0,834477,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,UA
62,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_UY98_CR1,0,67,98_AL_.jpg",2017,105 min,8.4,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Family'}]",,,,0,"209,726,015",,81.0,384171,Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,U
63,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",2012,165 min,8.4,"[{'name': 'Drama'}, {'name': 'Western'}]",,,,0,"162,805,434",,81.0,1357682,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,A
64,The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2012,164 min,8.4,"[{'name': 'Action'}, {'name': 'Adventure'}]",,,,0,"448,139,099",,78.0,1516346,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,UA
65,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR0,0,67,98_AL_.jpg",2009,170 min,8.4,"[{'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"6,532,908",,67.0,344445,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,UA
66,Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg",2007,165 min,8.4,"[{'name': 'Drama'}, {'name': 'Family'}]",,,,0,"1,223,869",,,168895,Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,U
67,WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",2008,98 min,8.4,"[{'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Family'}]",,,,0,"223,808,164",,95.0,999790,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,U
68,The Lives of Others,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UY98_CR1,0,67,98_AL_.jpg",2006,137 min,8.4,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"11,286,112",,89.0,358685,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,A
69,Oldeuboi,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",2003,101 min,8.4,"[{'name': 'Action'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,"707,481",,77.0,515451,Chan-wook Park,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,A
70,Memento,A man with short-term memory loss attempts to track down his wife's murderer.,"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",2000,113 min,8.4,"[{'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"25,544,867",,80.0,1125712,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,UA
71,Mononoke-hime,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",1997,134 min,8.4,"[{'name': 'Animation'}, {'name': 'Action'}, {'name': 'Adventure'}]",,,,0,"2,375,308",,76.0,343171,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,U
72,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1984,229 min,8.4,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"5,321,508",,,311365,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,A
73,Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",1981,115 min,8.4,"[{'name': 'Action'}, {'name': 'Adventure'}]",,,,0,"248,159,971",,85.0,884112,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,A
74,The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1980,146 min,8.4,"[{'name': 'Drama'}, {'name': 'Horror'}]",,,,0,"44,017,374",,66.0,898237,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,A
75,Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1979,147 min,8.4,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'War'}]",,,,0,"83,471,511",,94.0,606398,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,R
76,Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1979,117 min,8.4,"[{'name': 'Horror'}, {'name': 'Sci-Fi'}]",,,,0,"78,900,000",,89.0,787806,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,R
77,Anand,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.","https://m.media-amazon.com/images/M/MV5BYmYzNmM2MDctZGY3Yi00NjRiLWIxZjctYjgzYTcxYTNhYTMyXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY98_CR1,0,67,98_AL_.jpg",1971,122 min,8.4,"[{'name': 'Drama'}, {'name': 'Musical'}]",,,,0,,,,30273,Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,U
78,Tengoku to jigoku,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,"https://m.media-amazon.com/images/M/MV5BOTI4NTNhZDMtMWNkZi00MTRmLWJmZDQtMmJkMGVmZTEzODlhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",1963,143 min,8.4,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,,,,34357,Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,"https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1964,95 min,8.4,[{'name': 'Comedy'}],,,,0,"275,902",,97.0,450474,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,A
80,Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1957,116 min,8.4,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,"8,175,000",,,108862,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,U
81,Paths of Glory,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","https://m.media-amazon.com/images/M/MV5BNjViMmRkOTEtM2ViOS00ODg0LWJhYWEtNTBlOGQxNDczOGY3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",1957,88 min,8.4,"[{'name': 'Drama'}, {'name': 'War'}]",,,,0,,,90.0,178092,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,A
82,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1954,112 min,8.4,"[{'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"36,764,313",,100.0,444074,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,U
83,Sunset Blvd.,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_UX67_CR0,0,67,98_AL_.jpg",1950,110 min,8.4,"[{'name': 'Drama'}, {'name': 'Film-Noir'}]",,,,0,,,,201632,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,Passed
84,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1940,125 min,8.4,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'War'}]",,,,0,"288,475",,,203150,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,Passed
85,1917,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_UX67_CR0,0,67,98_AL_.jpg",2019,119 min,8.3,"[{'name': 'Drama'}, {'name': 'Thriller'}, {'name': 'War'}]",,,,0,"159,227,644",,78.0,425844,Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,R
86,Tumbbad,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"https://m.media-amazon.com/images/M/MV5BYmQxNmU4ZjgtYzE5Mi00ZDlhLTlhOTctMzJkNjk2ZGUyZGEwXkEyXkFqcGdeQXVyMzgxMDA0Nzk@._V1_UY98_CR1,0,67,98_AL_.jpg",2018,104 min,8.3,"[{'name': 'Drama'}, {'name': 'Fantasy'}, {'name': 'Horror'}]",,,,0,,,,27793,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,A
87,Andhadhun,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY98_CR0,0,67,98_AL_.jpg",2018,139 min,8.3,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Music'}]",,,,0,"1,373,943",,,71875,Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,UA
88,Drishyam,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,"https://m.media-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY98_CR4,0,67,98_AL_.jpg",2013,160 min,8.3,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,,,,30722,Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansiba,U
89,Jagten,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_UY98_CR1,0,67,98_AL_.jpg",2012,115 min,8.3,[{'name': 'Drama'}],,,,0,"687,185",,77.0,281623,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,R
90,Jodaeiye Nader az Simin,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2011,123 min,8.3,[{'name': 'Drama'}],,,,0,"7,098,492",,95.0,220002,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,PG-13
91,Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",2010,131 min,8.3,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'War'}]",,,,0,"6,857,096",,80.0,150023,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,R
